mic,imu
50.0,4.23
23.0,4.24
77.0,4.25
57.0,4.25
42.0,4.25
61.0,4.24
29.0,4.24
59.0,4.24
62.0,4.24
14.0,4.23
32.0,4.23
24.0,4.23
69.0,4.22
43.0,4.23
45.0,4.23
67.0,4.25
49.0,4.24
29.0,4.24
51.0,4.25
87.0,4.24
88.0,4.24
72.0,4.24
53.0,4.24
61.0,4.25
92.0,4.24
59.0,4.24
48.0,4.24
52.0,4.24
33.0,4.24
67.0,4.24
56.0,4.25
67.0,4.24
90.0,4.23
49.0,4.25
27.0,4.23
21.0,4.23
7.0,4.25
15.0,4.25
28.0,4.24
34.0,4.24
78.0,4.24
65.0,4.23
57.0,4.23
31.0,4.24
76.0,4.23
64.0,4.23
72.0,4.24
59.0,4.25
84.0,4.24
89.0,4.24
77.0,4.23
97.0,4.25
92.0,4.24
50.0,4.24
62.0,4.23
45.0,4.23
31.0,4.24
76.0,4.23
79.0,4.25
18.0,4.24
45.0,4.23
13.0,4.24
31.0,4.24
26.0,4.24
63.0,4.23
100.0,4.23
80.0,4.24
37.0,4.24
39.0,4.23
52.0,4.23
8.0,4.23
69.0,4.24
59.0,4.24
70.0,4.22
31.0,4.24
39.0,4.24
32.0,4.25
38.0,4.25
78.0,4.25
86.0,4.24
109.0,4.24
113.0,4.25
67.0,4.25
96.0,4.23
94.0,4.23
55.0,4.23
24.0,4.24
15.0,4.23
25.0,4.23
16.0,4.24
23.0,4.23
51.0,4.24
58.0,4.24
92.0,4.24
93.0,4.23
100.0,4.24
75.0,4.24
97.0,4.23
81.0,4.24
62.0,4.24
44.0,4.24
23.0,4.24
1.0,4.24
11.0,4.24
12.0,4.23
56.0,4.23
6.0,4.24
33.0,4.25
48.0,4.25
63.0,4.25
93.0,4.24
27.0,4.25
73.0,4.23
21.0,4.24
65.0,4.24
83.0,4.23
96.0,4.23
90.0,4.24
122.0,4.26
85.0,4.25
57.0,4.24
80.0,4.24
26.0,4.25
68.0,4.24
59.0,4.25
53.0,4.24
34.0,4.25
58.0,4.25
34.0,4.24
61.0,4.23
12.0,4.23
62.0,4.23
87.0,4.25
62.0,4.25
72.0,4.25
56.0,4.24
28.0,4.23
56.0,4.23
46.0,4.22
47.0,4.24
67.0,4.24
70.0,4.24
103.0,4.23
92.0,4.25
64.0,4.23
76.0,4.25
87.0,4.25
63.0,4.24
76.0,4.23
65.0,4.23
91.0,4.25
96.0,4.24
53.0,4.23
75.0,4.24
31.0,4.24
31.0,4.23
18.0,4.23
13.0,4.24
24.0,4.26
6.0,4.24
15.0,4.24
26.0,4.24
12.0,4.25
28.0,4.25
44.0,4.25
61.0,4.24
87.0,4.23
71.0,4.24
65.0,4.23
99.0,4.23
104.0,4.23
109.0,4.24
106.0,4.24
105.0,4.24
100.0,4.24
72.0,4.24
42.0,4.24
33.0,4.24
31.0,4.25
51.0,4.24
15.0,4.24
11.0,4.24
19.0,4.23
47.0,4.23
71.0,4.23
63.0,4.23
88.0,4.23
57.0,4.23
20.0,4.24
71.0,4.26
90.0,4.24
107.0,4.25
108.0,4.25
103.0,4.25
67.0,4.24
86.0,4.24
21.0,4.24
16.0,4.24
33.0,4.23
32.0,4.22
37.0,4.23
55.0,4.24
69.0,4.23
54.0,4.24
31.0,4.25
41.0,4.26
27.0,4.25
66.0,4.25
58.0,4.25
45.0,4.23
65.0,4.24
94.0,4.25
63.0,4.23
56.0,4.24
68.0,4.24
34.0,4.23
60.0,4.25
79.0,4.24
81.0,4.24
99.0,4.25
78.0,4.24
40.0,4.25
39.0,4.24
44.0,4.25
74.0,4.25
104.0,4.24
99.0,4.22
79.0,4.23
75.0,4.24
50.0,4.24
77.0,4.23
83.0,4.24
74.0,4.25
75.0,4.24
51.0,4.23
27.0,4.25
92.0,4.25
79.0,4.25
101.0,4.23
76.0,4.24
28.0,4.24
30.0,4.24
18.0,4.23
16.0,4.24
32.0,4.24
8.0,4.24
39.0,4.23
63.0,4.23
76.0,4.23
73.0,4.24
26.0,4.26
48.0,4.25
90.0,4.24
113.0,4.24
87.0,4.24
107.0,4.25
98.0,4.24
96.0,4.24
63.0,4.23
56.0,4.23
63.0,4.23
52.0,4.24
16.0,4.24
22.0,4.25
27.0,4.24
69.0,4.25
38.0,4.24
31.0,4.23
26.0,4.23
49.0,4.22
64.0,4.22
50.0,4.23
91.0,4.22
111.0,4.22
63.0,4.23
60.0,4.24
9.0,4.24
39.0,4.24
87.0,4.24
106.0,4.24
58.0,4.25
62.0,4.26
75.0,4.25
54.0,4.23
8.0,4.23
7.0,4.23
57.0,4.24
59.0,4.22
38.0,4.24
116.0,4.24
109.0,4.24
118.0,4.24
112.0,4.24
60.0,4.23
84.0,4.24
90.0,4.25
69.0,4.24
38.0,4.25
30.0,4.23
27.0,4.24
38.0,4.24
28.0,4.24
52.0,4.24
57.0,4.23
50.0,4.25
73.0,4.25
95.0,4.22
18.0,4.23
55.0,4.23
69.0,4.24
34.0,4.24
80.0,4.23
80.0,4.24
87.0,4.23
99.0,4.23
44.0,4.23
62.0,4.23
29.0,4.24
64.0,4.24
53.0,4.25
96.0,4.25
99.0,4.24
39.0,4.25
71.0,4.26
23.0,4.24
51.0,4.23
59.0,4.23
46.0,4.24
80.0,4.24
56.0,4.23
19.0,4.22
20.0,4.24
76.0,4.24
100.0,4.23
101.0,4.22
89.0,4.24
73.0,4.24
52.0,4.23
84.0,4.25
79.0,4.25
103.0,4.24
37.0,4.24
83.0,4.25
76.0,4.23
56.0,4.24
36.0,4.24
16.0,4.24
5.0,4.23
11.0,4.23
56.0,4.23
20.0,4.23
80.0,4.25
44.0,4.24
10.0,4.23
7.0,4.23
48.0,4.23
46.0,4.23
29.0,4.23
14.0,4.22
15.0,4.23
69.0,4.23
55.0,4.24
96.0,4.23
68.0,4.25
64.0,4.25
100.0,4.25
106.0,4.25
81.0,4.26
29.0,4.25
27.0,4.24
79.0,4.23
52.0,4.23
65.0,4.22
52.0,4.22
70.0,4.22
79.0,4.23
66.0,4.23
35.0,4.24
52.0,4.25
40.0,4.25
44.0,4.25
49.0,4.25
50.0,4.26
61.0,4.26
60.0,4.24
54.0,4.25
42.0,4.24
67.0,4.24
33.0,4.23
42.0,4.24
88.0,4.22
108.0,4.23
107.0,4.24
77.0,4.24
96.0,4.25
76.0,4.23
58.0,4.24
63.0,4.24
92.0,4.23
74.0,4.23
23.0,4.26
27.0,4.26
59.0,4.25
33.0,4.22
67.0,4.24
32.0,4.23
60.0,4.23
57.0,4.24
54.0,4.24
83.0,4.23
98.0,4.23
87.0,4.24
93.0,4.23
75.0,4.24
108.0,4.24
69.0,4.24
71.0,4.24
46.0,4.24
9.0,4.23
38.0,4.25
35.0,4.24
24.0,4.23
16.0,4.24
38.0,4.25
55.0,4.23
77.0,4.22
76.0,4.23
55.0,4.23
63.0,4.23
87.0,4.25
70.0,4.25
105.0,4.25
107.0,4.25
88.0,4.23
49.0,4.24
45.0,4.23
44.0,4.23
85.0,4.23
80.0,4.23
48.0,4.23
26.0,4.24
22.0,4.25
38.0,4.24
55.0,4.24
79.0,4.24
92.0,4.23
75.0,4.22
53.0,4.22
33.0,4.22
64.0,4.23
112.0,4.24
91.0,4.24
104.0,4.23
111.0,4.23
68.0,4.25
25.0,4.25
76.0,4.24
64.0,4.23
29.0,4.24
48.0,4.26
31.0,4.24
17.0,4.24
35.0,4.25
55.0,4.24
74.0,4.24
22.0,4.23
33.0,4.24
61.0,4.24
67.0,4.24
88.0,4.24
119.0,4.26
116.0,4.24
77.0,4.25
85.0,4.26
76.0,4.25
42.0,4.25
22.0,4.24
55.0,4.23
55.0,4.25
46.0,4.24
19.0,4.24
83.0,4.23
99.0,4.25
87.0,4.23
26.0,4.23
78.0,4.24
91.0,4.24
83.0,4.23
66.0,4.23
96.0,4.24
65.0,4.24
82.0,4.25
41.0,4.24
40.0,4.24
64.0,4.23
70.0,4.23
47.0,4.22
90.0,4.24
92.0,4.23
20.0,4.25
97.0,4.24
71.0,4.25
70.0,4.24
74.0,4.24
72.0,4.25
57.0,4.24
4.0,4.23
32.0,4.23
52.0,4.23
28.0,4.23
44.0,4.23
11.0,4.25
39.0,4.24
78.0,4.24
90.0,4.24
77.0,4.23
90.0,4.24
49.0,4.25
97.0,4.24
65.0,4.24
94.0,4.24
112.0,4.24
108.0,4.24
60.0,4.24
86.0,4.24
64.0,4.23
30.0,4.24
22.0,4.24
23.0,4.24
39.0,4.24
60.0,4.24
48.0,4.25
40.0,4.25
34.0,4.24
33.0,4.24
52.0,4.24
20.0,4.24
42.0,4.24
41.0,4.24
45.0,4.25
60.0,4.24
114.0,4.24
83.0,4.23
76.0,4.23
80.0,4.23
34.0,4.24
39.0,4.23
41.0,4.24
36.0,4.23
21.0,4.24
28.0,4.25
37.0,4.26
40.0,4.24
65.0,4.24
89.0,4.23
44.0,4.24
43.0,4.24
43.0,4.24
38.0,4.24
10.0,4.24
13.0,4.23
38.0,4.24
62.0,4.24
118.0,4.23
80.0,4.23
91.0,4.24
88.0,4.22
65.0,4.23
75.0,4.24
65.0,4.25
39.0,4.24
66.0,4.24
20.0,4.24
1.0,4.22
34.0,4.23
13.0,4.23
12.0,4.24
50.0,4.24
107.0,4.23
106.0,4.23
96.0,4.24
22.0,4.24
21.0,4.24
78.0,4.24
83.0,4.25
100.0,4.24
94.0,4.24
113.0,4.25
111.0,4.25
74.0,4.24
73.0,4.25
84.0,4.24
74.0,4.24
73.0,4.24
28.0,4.23
29.0,4.23
33.0,4.24
49.0,4.24
56.0,4.25
49.0,4.25
64.0,4.24
44.0,4.23
71.0,4.24
87.0,4.24
70.0,4.24
63.0,4.24
23.0,4.24
54.0,4.24
98.0,4.25
55.0,4.25
32.0,4.25
36.0,4.24
68.0,4.24
29.0,4.22
69.0,4.23
89.0,4.22
118.0,4.23
75.0,4.24
23.0,4.24
78.0,4.23
25.0,4.24
8.0,4.24
12.0,4.23
38.0,4.25
21.0,4.26
81.0,4.24
62.0,4.22
36.0,4.22
24.0,4.23
21.0,4.23
34.0,4.23
29.0,4.24
39.0,4.24
41.0,4.24
48.0,4.24
113.0,4.23
85.0,4.24
98.0,4.24
43.0,4.24
68.0,4.24
55.0,4.24
26.0,4.24
83.0,4.22
110.0,4.23
83.0,4.22
63.0,4.23
41.0,4.24
38.0,4.24
32.0,4.23
18.0,4.24
47.0,4.23
34.0,4.23
31.0,4.23
34.0,4.23
5.0,4.24
21.0,4.25
10.0,4.26
50.0,4.24
45.0,4.23
84.0,4.23
105.0,4.23
84.0,4.23
19.0,4.24
40.0,4.24
35.0,4.24
22.0,4.24
63.0,4.25
70.0,4.25
60.0,4.24
29.0,4.24
111.0,4.24
72.0,4.24
94.0,4.24
46.0,4.24
35.0,4.23
8.0,4.24
10.0,4.25
17.0,4.24
10.0,4.24
10.0,4.24
20.0,4.24
68.0,4.24
38.0,4.25
71.0,4.24
89.0,4.23
65.0,4.25
86.0,4.23
105.0,4.23
74.0,4.22
96.0,4.24
76.0,4.24
84.0,4.24
92.0,4.25
91.0,4.24
103.0,4.24
71.0,4.24
82.0,4.24
48.0,4.24
67.0,4.23
23.0,4.24
38.0,4.23
27.0,4.23
28.0,4.24
77.0,4.25
61.0,4.24
89.0,4.23
97.0,4.25
73.0,4.24
107.0,4.24
95.0,4.24
78.0,4.25
51.0,4.24
64.0,4.24
55.0,4.24
27.0,4.24
42.0,4.24
31.0,4.24
23.0,4.23
63.0,4.24
67.0,4.24
101.0,4.23
81.0,4.24
68.0,4.24
102.0,4.25
98.0,4.25
103.0,4.24
92.0,4.23
40.0,4.24
38.0,4.24
70.0,4.25
85.0,4.24
76.0,4.24
13.0,4.23
34.0,4.23
27.0,4.23
80.0,4.22
11.0,4.25
14.0,4.24
17.0,4.24
23.0,4.25
5.0,4.24
59.0,4.24
49.0,4.24
96.0,4.24
98.0,4.24
106.0,4.24
119.0,4.24
116.0,4.23
102.0,4.24
94.0,4.21
107.0,4.27
108.0,4.23
89.0,4.24
88.0,4.22
48.0,4.23
46.0,4.25
29.0,4.25
43.0,3.93
32.0,4.44
26.0,4.05
27.0,4.33
90.0,4.16
25.0,4.3
108.0,4.21
66.0,4.23
89.0,4.26
117.0,4.22
87.0,4.26
38.0,4.23
85.0,4.27
67.0,4.24
49.0,4.26
77.0,4.23
88.0,4.25
31.0,4.25
66.0,4.23
105.0,4.24
82.0,4.22
87.0,4.24
16.0,4.24
40.0,4.23
62.0,4.24
90.0,3.83
40.0,4.51
39.0,4.09
58.0,4.23
70.0,4.19
35.0,4.27
108.0,4.26
107.0,4.24
115.0,4.24
111.0,4.22
98.0,4.26
83.0,4.21
92.0,4.25
86.0,4.23
46.0,4.24
82.0,4.24
69.0,4.24
93.0,4.25
42.0,4.25
49.0,4.25
7.0,4.24
18.0,4.24
31.0,4.22
45.0,4.23
31.0,4.39
11.0,4.42
34.0,4.22
64.0,4.3
89.0,4.16
57.0,4.25
77.0,4.2
118.0,4.25
115.0,4.23
108.0,4.23
73.0,4.25
105.0,4.23
72.0,4.25
50.0,4.22
69.0,4.23
108.0,4.24
53.0,4.24
25.0,4.24
32.0,4.23
32.0,4.24
36.0,4.24
43.0,4.23
37.0,4.23
42.0,4.24
65.0,4.24
97.0,4.23
106.0,4.23
87.0,4.22
40.0,4.25
40.0,4.27
32.0,4.24
84.0,4.24
98.0,4.23
68.0,4.24
101.0,4.24
79.0,4.23
71.0,4.23
74.0,4.23
58.0,4.24
69.0,4.25
43.0,4.25
92.0,4.24
64.0,4.24
64.0,4.24
95.0,4.25
63.0,4.25
56.0,4.24
63.0,4.24
52.0,4.25
15.0,4.25
36.0,4.21
50.0,4.22
68.0,4.23
98.0,4.24
28.0,4.24
37.0,4.24
35.0,4.24
77.0,4.24
62.0,4.24
54.0,4.24
71.0,4.24
79.0,4.24
99.0,4.24
107.0,4.23
75.0,4.23
117.0,4.23
112.0,4.22
119.0,4.25
81.0,4.23
96.0,4.24
34.0,4.24
51.0,4.23
27.0,4.24
51.0,4.25
24.0,4.25
45.0,4.23
51.0,4.23
46.0,4.24
14.0,4.23
50.0,4.23
68.0,4.22
18.0,4.22
56.0,4.24
54.0,4.23
106.0,4.24
114.0,4.24
87.0,4.24
115.0,4.23
116.0,4.24
96.0,4.24
68.0,4.22
54.0,4.24
29.0,4.24
46.0,4.24
46.0,4.24
63.0,4.25
17.0,4.24
21.0,4.25
12.0,4.24
52.0,4.24
31.0,4.23
56.0,4.24
63.0,4.24
103.0,4.23
124.0,4.24
123.0,4.25
111.0,4.24
101.0,4.24
109.0,4.24
70.0,4.24
37.0,4.23
41.0,4.24
58.0,4.23
37.0,4.25
21.0,4.24
10.0,4.24
41.0,4.24
29.0,4.24
7.0,4.23
61.0,4.25
17.0,4.24
35.0,4.22
98.0,4.23
100.0,4.23
117.0,4.22
105.0,4.24
107.0,4.24
88.0,4.24
97.0,4.24
85.0,4.25
53.0,4.25
76.0,4.23
65.0,4.25
77.0,4.24
67.0,4.25
70.0,4.23
71.0,4.24
93.0,4.24
86.0,4.24
67.0,4.25
43.0,4.23
43.0,4.23
73.0,4.25
67.0,4.25
62.0,4.25
22.0,4.25
10.0,4.24
12.0,4.26
34.0,4.26
66.0,4.24
51.0,4.25
47.0,4.24
70.0,4.23
25.0,4.23
58.0,4.24
40.0,4.24
27.0,4.24
58.0,4.23
91.0,4.24
86.0,4.23
86.0,4.23
107.0,4.24
82.0,4.23
64.0,4.26
59.0,4.24
50.0,4.24
48.0,4.25
24.0,4.26
53.0,4.24
65.0,4.22
112.0,4.23
62.0,4.24
84.0,4.25
94.0,4.22
119.0,4.24
93.0,4.24
68.0,4.24
75.0,4.24
62.0,4.22
68.0,4.24
60.0,4.24
29.0,4.23
26.0,4.23
40.0,4.24
46.0,4.23
8.0,4.25
1.0,4.24
0.0,4.24
0.0,4.23
0.0,4.24
0.0,4.24
0.0,4.23
0.0,4.21
0.0,3.9
0.0,4.1
0.0,4.72
0.0,4.27
0.0,4.33
1.0,4.4
1.0,4.6
1.0,4.44
2.0,4.0
18.0,4.17
41.0,4.55
86.0,4.55
92.0,4.47
50.0,4.38
123.0,4.13
105.0,3.81
123.0,3.55
126.0,3.44
127.0,3.28
125.0,3.14
127.0,2.8
127.0,2.4
127.0,2.0
127.0,1.84
127.0,1.65
127.0,1.25
126.0,0.83
111.0,0.54
58.0,0.05
66.0,-0.1
6.0,-0.53
0.0,-0.87
6.0,-1.35
2.0,-2.01
0.0,-2.41
6.0,-3.05
12.0,-2.83
27.0,-2.98
68.0,-3.18
92.0,-3.52
102.0,-3.46
79.0,-3.75
59.0,-3.77
72.0,-3.65
84.0,-3.65
76.0,-3.81
93.0,-3.92
123.0,-3.77
115.0,-3.51
119.0,-3.24
118.0,-3.17
81.0,-3.64
94.0,-4.2
83.0,-4.48
91.0,-4.39
119.0,-4.23
114.0,-4.05
53.0,-4.34
81.0,-4.53
64.0,-4.15
10.0,-3.52
22.0,-2.98
62.0,-2.74
20.0,-2.58
7.0,-2.53
42.0,-2.87
29.0,-3.49
18.0,-3.8
64.0,-3.76
88.0,-3.85
99.0,-3.95
81.0,-3.33
66.0,-2.53
77.0,-1.87
87.0,-1.39
90.0,-0.92
73.0,-0.61
109.0,-0.15
123.0,0.36
126.0,1.09
127.0,1.83
127.0,2.37
126.0,2.85
125.0,4.48
127.0,3.93
127.0,3.94
127.0,3.98
127.0,3.92
127.0,3.99
127.0,3.84
127.0,3.6
127.0,3.46
127.0,3.52
127.0,4.2
117.0,4.05
92.0,3.99
86.0,4.18
30.0,4.52
14.0,4.19
2.0,4.23
1.0,4.34
0.0,4.27
0.0,4.55
0.0,4.4
0.0,3.89
0.0,2.26
0.0,5.34
0.0,4.3
0.0,4.16
0.0,4.15
0.0,4.16
0.0,4.23
0.0,4.24
0.0,4.23
0.0,4.22
0.0,4.24
0.0,4.24
0.0,4.24
0.0,4.24
0.0,4.23
3.0,4.24
11.0,4.23
46.0,4.23
114.0,4.25
127.0,4.25
127.0,4.25
127.0,4.25
127.0,4.24
127.0,4.23
127.0,4.24
127.0,4.25
127.0,4.24
127.0,4.24
127.0,4.24
127.0,4.24
127.0,4.23
127.0,4.23
124.0,4.22
125.0,4.23
124.0,4.23
123.0,4.24
120.0,4.24
106.0,4.24
67.0,4.26
86.0,4.24
82.0,4.24
15.0,4.25
1.0,4.24
1.0,4.24
4.0,4.24
4.0,4.24
2.0,4.24
6.0,4.23
2.0,4.23
19.0,4.23
20.0,4.24
8.0,4.23
10.0,4.23
47.0,4.23
81.0,4.23
73.0,4.24
56.0,4.23
68.0,4.25
51.0,4.24
22.0,4.25
37.0,4.25
10.0,4.25
43.0,4.22
37.0,4.23
53.0,4.25
29.0,4.24
55.0,4.25
25.0,4.23
51.0,4.25
96.0,4.25
87.0,4.25
80.0,4.24
64.0,4.24
70.0,4.23
53.0,4.24
36.0,4.24
38.0,4.24
52.0,4.24
34.0,4.24
24.0,4.24
32.0,4.24
25.0,4.24
43.0,4.24
38.0,4.25
24.0,4.23
67.0,4.24
98.0,4.23
82.0,4.24
37.0,4.24
28.0,4.24
76.0,4.22
29.0,4.25
35.0,4.25
74.0,4.24
113.0,4.24
101.0,4.24
49.0,4.26
72.0,4.24
73.0,4.24
55.0,4.23
38.0,4.25
86.0,4.23
63.0,4.24
86.0,4.24
42.0,4.23
74.0,4.24
17.0,4.24
59.0,4.23
46.0,4.24
75.0,4.25
78.0,4.23
58.0,4.25
15.0,4.25
44.0,4.23
48.0,4.23
17.0,4.24
54.0,4.25
25.0,4.25
43.0,4.24
16.0,4.25
31.0,4.24
26.0,4.24
24.0,4.24
72.0,4.24
54.0,4.25
90.0,4.24
84.0,4.24
88.0,4.25
106.0,4.23
93.0,4.23
105.0,4.24
88.0,4.23
72.0,4.25
104.0,4.24
86.0,4.24
95.0,4.24
84.0,4.24
22.0,4.25
30.0,4.25
53.0,4.25
14.0,4.23
1.0,4.24
0.0,4.24
0.0,4.25
0.0,4.25
0.0,4.24
0.0,4.23
0.0,4.25
0.0,4.23
0.0,4.23
0.0,4.25
1.0,4.24
2.0,4.25
8.0,4.24
9.0,4.31
24.0,4.28
36.0,4.18
77.0,4.3
96.0,4.21
108.0,4.29
121.0,4.21
120.0,4.26
124.0,4.23
97.0,4.25
108.0,4.22
122.0,4.23
120.0,4.23
88.0,4.24
96.0,4.24
116.0,4.23
78.0,4.25
47.0,4.24
50.0,4.24
49.0,4.23
48.0,4.23
25.0,4.24
29.0,4.23
54.0,4.23
97.0,4.25
86.0,4.23
102.0,4.24
121.0,4.24
123.0,4.25
121.0,4.25
123.0,4.23
112.0,4.25
87.0,4.23
63.0,4.24
66.0,4.24
102.0,4.24
56.0,4.24
49.0,4.22
26.0,4.4
39.0,4.16
42.0,4.25
59.0,4.21
66.0,4.24
92.0,4.25
109.0,4.23
120.0,4.27
108.0,4.24
82.0,4.26
80.0,4.24
62.0,4.26
80.0,4.24
46.0,4.24
60.0,4.23
36.0,4.24
38.0,4.23
58.0,4.23
65.0,4.24
62.0,4.24
85.0,4.24
52.0,4.23
49.0,4.24
88.0,4.24
67.0,4.24
80.0,4.24
75.0,4.25
69.0,4.24
58.0,4.24
98.0,4.23
92.0,4.24
54.0,4.23
87.0,4.24
72.0,4.25
88.0,4.23
35.0,4.23
16.0,4.23
38.0,4.23
35.0,4.22
53.0,4.24
